Year,ISO3 Code,Rank,Country,Greenplexity Index,Change in 5yrs
2012,JPN,1,Japan,3.63,N/A
2012,DEU,2,Germany,3.44,N/A
2012,USA,3,United States of America,2.96,N/A
2012,CZE,4,Czech Republic,2.85,N/A
2012,FRA,5,France,2.81,N/A
2012,AUT,6,Austria,2.63,N/A
2012,ITA,7,Italy,2.61,N/A
2012,CHN,8,China,2.53,N/A
2012,SWE,9,Sweden,2.52,N/A
2012,GBR,10,United Kingdom of Great Britain and Northern Ireland,2.40,N/A
2012,KOR,11,South Korea,2.37,N/A
2012,HUN,12,Hungary,2.36,N/A
2012,SVN,13,Slovenia,2.29,N/A
2012,TWN,14,Taiwan,2.19,N/A
2012,CHE,15,Switzerland,2.15,N/A
2012,DNK,16,Denmark,2.09,N/A
2012,POL,17,Poland,2.02,N/A
2012,BEL,18,Belgium,2.02,N/A
2012,ROU,19,Romania,1.91,N/A
2012,FIN,20,Finland,1.89,N/A
2012,SGP,21,Singapore,1.77,N/A
2012,EST,22,Estonia,1.65,N/A
2012,MEX,23,Mexico,1.63,N/A
2012,NLD,24,Netherlands,1.57,N/A
2012,SVK,25,Slovakia,1.57,N/A
2012,ESP,26,Spain,1.52,N/A
2012,HRV,27,Croatia,1.42,N/A
2012,THA,28,Thailand,1.36,N/A
2012,LTU,29,Lithuania,1.35,N/A
2012,ISR,30,Israel,1.35,N/A
2012,PRT,31,Portugal,1.33,N/A
2012,HKG,32,Hong Kong,1.27,N/A
2012,TUN,33,Tunisia,1.02,N/A
2012,BGR,34,Bulgaria,0.96,N/A
2012,BLR,35,Belarus,0.94,N/A
2012,IND,36,India,0.93,N/A
2012,MYS,37,Malaysia,0.91,N/A
2012,SRB,38,Serbia,0.89,N/A
2012,LVA,39,Latvia,0.86,N/A
2012,TUR,40,Turkiye,0.80,N/A
2012,CAN,41,Canada,0.75,N/A
2012,UKR,42,Ukraine,0.73,N/A
2012,PHL,43,Philippines,0.61,N/A
2012,LBN,44,Lebanon,0.53,N/A
2012,CRI,45,Costa Rica,0.48,N/A
2012,PAN,46,Panama,0.41,N/A
2012,IRL,47,Ireland,0.40,N/A
2012,NZL,48,New Zealand,0.38,N/A
2012,BIH,49,Bosnia and Herzegovina,0.36,N/A
2012,ARE,50,United Arab Emirates,0.29,N/A
2012,ZAF,51,South Africa,0.26,N/A
2012,VNM,52,Vietnam,0.26,N/A
2012,GRC,53,Greece,0.25,N/A
2012,ARG,54,Argentina,0.25,N/A
2012,JOR,55,Jordan,0.24,N/A
2012,NOR,56,Norway,0.22,N/A
2012,CYP,57,Cyprus,0.21,N/A
2012,IDN,58,Indonesia,0.20,N/A
2012,BRA,59,Brazil,0.19,N/A
2012,MDA,60,Moldova,0.18,N/A
2012,ARM,61,Armenia,0.11,N/A
