Year,ISO3 Code,Rank,Country,Greenplexity Index,Change in 5yrs
2015,JPN,1,Japan,3.67,N/A
2015,DEU,2,Germany,3.35,N/A
2015,FRA,3,France,2.84,N/A
2015,USA,4,United States of America,2.79,N/A
2015,CZE,5,Czech Republic,2.76,N/A
2015,AUT,6,Austria,2.59,N/A
2015,KOR,7,South Korea,2.58,N/A
2015,HUN,8,Hungary,2.56,N/A
2015,TWN,9,Taiwan,2.51,N/A
2015,CHN,10,China,2.51,N/A
2015,ITA,11,Italy,2.48,N/A
2015,SWE,12,Sweden,2.33,N/A
2015,GBR,13,United Kingdom of Great Britain and Northern Ireland,2.30,N/A
2015,SVN,14,Slovenia,2.29,N/A
2015,CHE,15,Switzerland,2.09,N/A
2015,DNK,16,Denmark,2.05,N/A
2015,SGP,17,Singapore,2.01,N/A
2015,POL,18,Poland,1.97,N/A
2015,BEL,19,Belgium,1.97,N/A
2015,FIN,20,Finland,1.96,N/A
2015,ROU,21,Romania,1.95,N/A
2015,MEX,22,Mexico,1.63,N/A
2015,NLD,23,Netherlands,1.62,N/A
2015,EST,24,Estonia,1.55,N/A
2015,SVK,25,Slovakia,1.54,N/A
2015,THA,26,Thailand,1.52,N/A
2015,MYS,27,Malaysia,1.42,N/A
2015,ESP,28,Spain,1.39,N/A
2015,ISR,29,Israel,1.39,N/A
2015,LTU,30,Lithuania,1.31,N/A
2015,HRV,31,Croatia,1.31,N/A
2015,HKG,32,Hong Kong,1.28,N/A
2015,TUN,33,Tunisia,1.03,N/A
2015,PRT,34,Portugal,1.02,N/A
2015,IND,35,India,1.01,N/A
2015,LVA,36,Latvia,0.99,N/A
2015,SRB,37,Serbia,0.85,N/A
2015,TUR,38,Turkiye,0.82,N/A
2015,BGR,39,Bulgaria,0.80,N/A
2015,BLR,40,Belarus,0.79,N/A
2015,PHL,41,Philippines,0.66,N/A
2015,NOR,42,Norway,0.52,N/A
2015,CAN,43,Canada,0.50,N/A
2015,IRL,44,Ireland,0.49,N/A
2015,LBN,45,Lebanon,0.43,N/A
2015,CRI,46,Costa Rica,0.38,N/A
2015,IDN,47,Indonesia,0.36,N/A
2015,ARE,48,United Arab Emirates,0.36,N/A
2015,PAN,49,Panama,0.33,N/A
2015,MDA,50,Moldova,0.28,N/A
2015,GRC,51,Greece,0.27,N/A
