Year,ISO3 Code,Rank,Country,Greenplexity Index,Change in 5yrs
2019,JPN,1,Japan,3.62,0
2019,DEU,2,Germany,3.39,0
2019,USA,3,United States of America,2.70,2
2019,CHN,4,China,2.68,2
2019,FRA,5,France,2.66,-2
2019,KOR,6,South Korea,2.62,5
2019,CZE,7,Czech Republic,2.61,-3
2019,AUT,8,Austria,2.54,-1
2019,ITA,9,Italy,2.44,-1
2019,TWN,10,Taiwan,2.41,2
2019,HUN,11,Hungary,2.31,-2
2019,SVN,12,Slovenia,2.18,3
2019,ROU,13,Romania,2.15,7
2019,GBR,14,United Kingdom of Great Britain and Northern Ireland,2.15,-1
2019,DNK,15,Denmark,2.14,1
2019,SWE,16,Sweden,2.08,-6
2019,SGP,17,Singapore,2.04,4
2019,CHE,18,Switzerland,2.02,-4
2019,POL,19,Poland,1.93,-2
2019,BEL,20,Belgium,1.91,-1
2019,SVK,21,Slovakia,1.83,2
2019,FIN,22,Finland,1.75,-4
2019,EST,23,Estonia,1.69,-1
2019,THA,24,Thailand,1.68,4
2019,NLD,25,Netherlands,1.62,1
2019,ISR,26,Israel,1.52,3
2019,LTU,27,Lithuania,1.48,4
2019,MEX,28,Mexico,1.47,-3
2019,MYS,29,Malaysia,1.46,4
2019,ESP,30,Spain,1.39,-6
2019,HRV,31,Croatia,1.35,-4
2019,HKG,32,Hong Kong,1.20,0
2019,LVA,33,Latvia,1.12,2
2019,BLR,34,Belarus,1.07,4
2019,TUN,35,Tunisia,1.06,-1
2019,BGR,36,Bulgaria,1.03,4
2019,IND,37,India,1.03,2
2019,PRT,38,Portugal,1.01,-8
2019,SRB,39,Serbia,0.99,-3
2019,TUR,40,Turkiye,0.81,-3
2019,PHL,41,Philippines,0.63,0
2019,VNM,42,Vietnam,0.56,18
2019,CAN,43,Canada,0.51,-1
2019,ARE,44,United Arab Emirates,0.47,13
2019,BIH,45,Bosnia and Herzegovina,0.44,5
2019,CRI,46,Costa Rica,0.42,-2
2019,IRL,47,Ireland,0.34,-2
2019,LBN,48,Lebanon,0.33,-2
2019,IDN,49,Indonesia,0.27,0
