Year,ISO3 Code,Rank,Country,Greenplexity Index,Change in 5yrs
2020,JPN,1,Japan,3.64,0
2020,DEU,2,Germany,3.38,0
2020,USA,3,United States of America,2.77,1
2020,CHN,4,China,2.73,6
2020,CZE,5,Czech Republic,2.72,0
2020,FRA,6,France,2.66,-3
2020,KOR,7,South Korea,2.56,0
2020,ITA,8,Italy,2.45,3
2020,AUT,9,Austria,2.42,-3
2020,TWN,10,Taiwan,2.36,-1
2020,HUN,11,Hungary,2.32,-3
2020,SVN,12,Slovenia,2.22,2
2020,ROU,13,Romania,2.21,8
2020,GBR,14,United Kingdom of Great Britain and Northern Ireland,2.20,-1
2020,SWE,15,Sweden,2.09,-3
2020,SGP,16,Singapore,2.07,1
2020,DNK,17,Denmark,2.04,-1
2020,CHE,18,Switzerland,1.98,-3
2020,POL,19,Poland,1.93,-1
2020,FIN,20,Finland,1.78,0
2020,BEL,21,Belgium,1.76,-2
2020,THA,22,Thailand,1.76,4
2020,ISR,23,Israel,1.68,6
2020,SVK,24,Slovakia,1.66,1
2020,EST,25,Estonia,1.59,-1
2020,NLD,26,Netherlands,1.48,-3
2020,LTU,27,Lithuania,1.47,3
2020,MEX,28,Mexico,1.41,-6
2020,HRV,29,Croatia,1.39,2
2020,ESP,30,Spain,1.39,-2
2020,MYS,31,Malaysia,1.37,-4
2020,HKG,32,Hong Kong,1.32,0
2020,BGR,33,Bulgaria,1.14,6
2020,TUN,34,Tunisia,1.12,-1
2020,IND,35,India,1.11,0
2020,BLR,36,Belarus,1.00,4
2020,LVA,37,Latvia,0.97,-1
2020,SRB,38,Serbia,0.89,-1
2020,PRT,39,Portugal,0.87,-5
2020,PHL,40,Philippines,0.79,1
2020,TUR,41,Turkiye,0.70,-3
2020,VNM,42,Vietnam,0.55,17
2020,ARE,43,United Arab Emirates,0.55,5
2020,BIH,44,Bosnia and Herzegovina,0.46,9
2020,CAN,45,Canada,0.41,-2
2020,CRI,46,Costa Rica,0.38,0
2020,NOR,47,Norway,0.28,-5
2020,IRL,48,Ireland,0.26,-4
2020,IDN,49,Indonesia,0.22,-2
2020,MDA,50,Moldova,0.20,0
2020,PAN,51,Panama,0.18,-2
2020,MKD,52,North Macedonia,0.18,16
2020,GRC,53,Greece,0.15,-2
2020,LBN,54,Lebanon,0.15,-9
2020,UKR,55,Ukraine,0.10,0
